Cód.Ponto,Sist.Hidrico,Localização,Data Início,Data Fim,Município
ABAN02790,Córrego Água Branca,A montante do Córrego do Limoeiro,2016-07-25,,ITIRAPINA
ABAN02800,Córrego Água Branca,"Ponte na Rod. Mun. Ayrton Sena, a jusante da ETE de Itirapina",2016-07-25,,ITIRAPINA
ABCA02300,Córrego Agua Branca,"A montante da Represa Agua Branca, a 500 m depois da ENCEFRA",2008-01-01,,CORDEIROPOLIS
ABCA02500,Córrego Agua Branca,No meio da represa do Cor. Água Branca.,2008-01-01,,CORDEIROPOLIS
ABCA02700,Córrego Agua Branca,A jusante da Represa Do Córrego Agua Branca,2008-01-01,,CORDEIROPOLIS
ABRA02950,Ribeirão Água Branca,"Ponte na Av. Princesa Isabel, ao lado do Forum de Ilhabela",2004-01-01,,ILHABELA
ACLA00500,Reservatório Águas Claras,"No Píer do Reservatório Aguas Claras- SABESP, na Serra da Cantareira. Estrada Santa Inês s/n, junto à EF-09 CETESB.",2000-07-01,,CAIEIRAS
AGUA02010,Rio Aguapeí ou Feio,Ponte na Rodovia que liga Marília a Guarantã.,2001-01-01,,GUARANTA
AGUA02100,Rio Aguapeí ou Feio,Ponte na SP-425 que liga Parapuã a Penápolis,1979-01-01,,SANTOPOLIS DO AGUAPEI
AGUA02200,Rio Aguapeí ou Feio,"Ponte na rodovia SP 461, na divisa de Rinópolis / Piacatu.",2019-12-01,,PIACATU
AGUA02500,Rio Aguapeí ou Feio,"Ponte na rodovia SP-541, que liga Valparaíso - Adamantina, na régua do DAEE: 8C-004.",2014-01-01,,ADAMANTINA
AGUA02800,Rio Aguapeí ou Feio,Ponte que liga Tupi Paulista a Andradina.,1974-10-01,,JUNQUEIROPOLIS
AIAU02400,Ribeirão Itaguaraguaiaú,"Ponte na estrada da GM, no bairro do Éden.",2005-10-01,2010-12-31,SOROCABA
ALIM02950,Ribeirão da Água Limpa,"Junto a sua foz, na passarela de pedestres na Avenida Jânio Quadros, na saída para Lavrinhas.",2015-01-01,,CRUZEIRO
ALVE02800,Ribeirão dos Alvarengas,"A montante da galeria da Rod. dos Imigrantes, próximo da foz do Córrego dos Alvarengas.(B05-Programa Mananciais).",2020-01-01,,SÃO BERNARDO DO CAMPO
ANCO02900,Rio Branco,"Na ponte da Rodovia Pedro Taques, antes do pedágio",2001-01-01,,SÃO VICENTE
ANOR02300,Córrego da Água Norte,No Represamento do Manancial de Captação de Marília,2006-03-01,2016-12-31,MARILIA
APIA02600,Rio Apiaí-Guaçu,"Ponte na Rod. SP-258 (Francisco Alves Negrão), na altura do km 358.",2017-01-01,,TAQUARIVAI
ARAS02900,Rio das Araras,Ponte de madeira sobre Rio Araras na Foz -ETE.,2002-01-01,,ARARAS
ARAS03400,Rio das Araras,Montante do lançamento da ETE - Ponte do Bairro Loreto.,2003-01-01,2010-06-03,ARARAS
ARAU02950,Rio Acaraú,"Praia de Itaguá,Rua Basílio de Moraes Cavalheiro, ponte sobre o rio.",2004-01-01,,UBATUBA
ARPE02800,Reservatório do Arrependido,"No reservatório do Rio Arrependido, na captação de Marília,",2001-01-01,,MARILIA
ASER04500,Afluente do Córrego Serraria,"Córrego afluente do Córrego Serraria, dentro do condominio ACIBAM",2013-10-01,,MAUA
ASER04900,Afluente do Córrego Serraria,Córrego afluente do Córrego Serraria,2013-10-01,,MAUA
ATIB02010,Rio Atibaia,"Na captação do município de Atibaia, junto a régua do DAEE 3E-063.",1995-01-01,,ATIBAIA
ATIB02025,Rio Atibaia,"Na captação de Jundiaí, na ponte sobre o rio Atibaia.",2001-01-01,2002-12-31,ITATIBA
ATIB02030,Rio Atibaia,Na captação de Itatiba. Rua Fioravante Piovani.,2002-01-01,,ITATIBA
ATIB02035,Rio Atibaia,"Na captação de Valinhos, junto a régua do DAEE 3D-007.",2000-01-01,,VALINHOS
ATIB02065,Rio Atibaia,"Na captação de Campinas, na divisa de municípios Campinas/Valinhos. Junto à régua do DAEE 3D-003.",1979-01-01,,CAMPINAS
ATIB02270,Rio Atibaia,MONTANTE DA RHODIA (CANAL DE CAPTAÇÃO DA RHODIA),2008-01-01,,PAULINIA
ATIB02280,Rio Atibaia,"RIO ATIBAIA, na ponte da RHODIA",2008-01-01,,PAULINIA
ATIB02300,Rio Atibaia,"Na captação da Rhodia, em Paulínia.",2002-01-01,,PAULINIA
ATIB02350,Rio Atibaia,"RIO ATIBAIA, A JUSANTE DA RHODIA E A MONTANTE DA BANN.",2008-01-01,,PAULINIA
